strain sex bw RFbmc LFbmc RFbmd LFbmd
129S1/SvImJ f 20.5 0.0265 0.0313 0.0647 0.0695
129S1/SvImJ f 19.5 0.0299 0.0308 0.0648 0.0667
129S1/SvImJ f 20 0.0326 0.0351 0.0739 0.0741
129S1/SvImJ f 18.2 0.0230 0.0255 0.0601 0.0654
129S1/SvImJ f 20.7 0.0309 0.0332 0.0690 0.0701
129S1/SvImJ f 19.1 0.0288 0.0278 0.0690 0.0690
129S1/SvImJ f 18.9 0.0242 0.0308 0.0639 0.0682
129S1/SvImJ f 19.3 0.0249 0.0302 0.0682 0.0686
129S1/SvImJ m 26.2 0.0340 0.0408 0.0702 0.0802
129S1/SvImJ m 24.1 0.0285 0.0340 0.0720 0.0762
129S1/SvImJ m 20.6 0.0260 0.0270 0.0635 0.0670
129S1/SvImJ m 27.9 0.0332 0.0380 0.0742 0.0814
129S1/SvImJ m 26.7 0.0425 0.0372 0.0736 0.0774
129S1/SvImJ m 26.1 0.0351 0.0361 0.0731 0.0817
129S1/SvImJ m 24.3 0.0336 0.0372 0.0674 0.0745
129S1/SvImJ m 22.9 0.0322 0.0374 0.0730 0.0785
A/J f 21.6 0.0227 0.0257 0.0644 0.0691
A/J f 20.5 0.0212 0.0223 0.0625 0.0654
A/J f 21.1 0.0229 0.0284 0.0608 0.0674
A/J f 25.3 0.0257 0.0298 0.0675 0.0683
A/J f 23.3 0.0221 0.0292 0.0642 0.0689
A/J f 18.5 0.0187 0.0221 0.0587 0.0625
A/J f 23.4 0.0242 0.0259 0.0630 0.0687
A/J f 17.6 0.0197 0.0206 0.0585 0.0607
A/J m 25.1 0.0284 0.0315 0.0669 0.0661
A/J m 24.8 0.0239 0.0275 0.0634 0.0691
A/J m 27.3 0.0248 0.0296 0.0638 0.0696
A/J m 29.2 0.0280 0.0318 0.0701 0.0706
A/J m 25 0.0250 0.0248 0.0625 0.0695
A/J m 25.4 0.0284 0.0337 0.0656 0.0725
A/J m 24.6 0.0229 0.0227 0.0628 0.0682
A/J m 25.2 0.0243 0.0266 0.0653 0.0688
BALB/cJ f 23.3 0.0359 0.0421 0.0771 0.0781
BALB/cJ f 22.9 0.0322 0.0319 0.0740 0.0818
BALB/cJ f 23.2 0.0370 0.0418 0.0753 0.0792
BALB/cJ f 25.9 0.0380 0.0353 0.0804 0.0800
BALB/cJ f 21.9 0.0298 0.0338 0.0739 0.0750
BALB/cJ f 22.7 0.0280 0.0308 0.0735 0.0746
BALB/cJ f 21.7 0.0302 0.0343 0.0680 0.0711
BALB/cJ f 21.5 0.0327 0.0332 0.0745 0.0747
BALB/cJ m 27 0.0337 0.0382 0.0756 0.0790
BALB/cJ m 27.5 0.0373 0.0380 0.0826 0.0802
BALB/cJ m 28.8 0.0388 0.0461 0.0792 0.0817
BALB/cJ m 28.2 0.0363 0.0414 0.0763 0.0807
BALB/cJ m 29.4 0.0460 0.0397 0.0805 0.0811
BALB/cJ m 32.2 0.0505 0.0410 0.0837 0.0810
BALB/cJ m 33.7 0.0457 0.0467 0.0827 0.0854
BALB/cJ m 29.8 0.0388 0.0451 0.0795 0.0842
C57BL/6J f 19.6 0.0217 0.0271 0.0546 0.0623
C57BL/6J f 20.1 0.0225 0.0234 0.0559 0.0572
C57BL/6J f 20.6 0.0224 0.0251 0.0591 0.0605
C57BL/6J f 19.9 0.0229 0.0271 0.0593 0.0641
C57BL/6J f 17.6 0.0244 0.0237 0.0577 0.0561
C57BL/6J f 23.5 0.0293 0.0301 0.0598 0.0649
C57BL/6J f 23.1 0.0265 0.0272 0.0604 0.0625
C57BL/6J f 21.9 0.0280 0.0298 0.0617 0.0651
C57BL/6J m 26.8 0.0294 0.0319 0.0727 0.0744
C57BL/6J m 27.3 0.0338 0.0329 0.0714 0.0733
C57BL/6J m 26.2 0.0309 0.0290 0.0664 0.0683
C57BL/6J m 26.6 0.0281 0.0346 0.0674 0.0723
C57BL/6J m 33.3 0.0363 0.0398 0.0715 0.0817
C57BL/6J m 29.6 0.0350 0.0403 0.0732 0.0782
C57BL/6J m 26.1 0.0380 0.0365 0.0677 0.0761
C57BL/6J m 30.3 0.0392 0.0399 0.0726 0.0762
DBA/2J f 26.1 0.0280 0.0334 0.0647 0.0764
DBA/2J f 28.3 0.0334 0.0313 0.0721 0.0759
DBA/2J f 32.5 0.0241 0.0198 0.0524 0.0550
DBA/2J f 26.7 0.0247 0.0216 0.0482 0.0545
DBA/2J f 28.7 0.0330 0.0322 0.0697 0.0718
DBA/2J f 24.5 0.0310 0.0309 0.0646 0.0661
DBA/2J f 23.2 0.0266 0.0282 0.0677 0.0714
DBA/2J f 23 0.0266 0.0281 0.0685 0.0710
DBA/2J m 30.2 0.0290 0.0256 0.0678 0.0741
DBA/2J m 35.8 0.0324 0.0276 0.0679 0.0691
DBA/2J m 28.5 0.0330 0.0272 0.0682 0.0651
DBA/2J m 28.8 0.0246 0.0267 0.0627 0.0684
DBA/2J m 28.4 0.0187 0.0197 0.0346 0.0435
DBA/2J m 29.8 0.0280 0.0262 0.0634 0.0616
DBA/2J m 28.7 0.0262 0.0250 0.0564 0.0638
DBA/2J m 27.3 0.0253 0.0207 0.0554 0.0537
NOD/LtJ f 24.5 0.0339 0.0401 0.0688 0.0768
NOD/LtJ f 24.3 0.0294 0.0355 0.0647 0.0703
NOD/LtJ f 22.2 0.0322 0.0292 0.0657 0.0616
NOD/LtJ f 26 0.0338 0.0353 0.0734 0.0789
NOD/LtJ f 22.8 0.0259 0.0290 0.0650 0.0711
NOD/LtJ f 23.2 0.0282 0.0313 0.0650 0.0716
NOD/LtJ f 23.5 0.0265 0.0299 0.0652 0.0687
NOD/LtJ f 23.4 0.0285 0.0278 0.0669 0.0725
NOD/LtJ m 29.5 0.0321 0.0336 0.0726 0.0739
NOD/LtJ m 30.4 0.0322 0.0307 0.0732 0.0761
NOD/LtJ m 31.5 0.0310 0.0448 0.0689 0.0779
NOD/LtJ m 32.5 0.0348 0.0400 0.0715 0.0798
NOD/LtJ m 32.3 0.0307 0.0395 0.0685 0.0786
NOD/LtJ m 31.3 0.0343 0.0388 0.0723 0.0809
NOD/LtJ m 33.9 0.0313 0.0384 0.0722 0.0830
NOD/LtJ m 35 0.0341 0.0384 0.0708 0.0806
SJL/J f 21.5 0.0328 0.0434 0.0746 0.0822
SJL/J f 18.5 0.0309 0.0372 0.0707 0.0704
SJL/J f 20.3 0.0343 0.0372 0.0726 0.0804
SJL/J f 19.3 0.0335 0.0290 0.0732 0.0756
SJL/J f 19.5 0.0322 0.0440 0.0768 0.0821
SJL/J f 18.7 0.0288 0.0329 0.0721 0.0715
SJL/J f 18.6 0.0283 0.0284 0.0708 0.0728
SJL/J f 18.7 0.0281 0.0281 0.0687 0.0657
SJL/J m 27.9 0.0332 0.0363 0.0759 0.0849
SJL/J m 24.3 0.0373 0.0368 0.0796 0.0826
SJL/J m 24.4 0.0319 0.0334 0.0785 0.0812
SJL/J m 23.9 0.0345 0.0343 0.0744 0.0829
SJL/J m 26.8 0.0345 0.0365 0.0800 0.0850
SJL/J m 26.6 0.0344 0.0349 0.0780 0.0776
SJL/J m 26.4 0.0347 0.0381 0.0783 0.0813
SJL/J m 26.7 0.0321 0.0382 0.0771 0.0838
